addr,assessVal,assessYear,baseExAmt,baseTaxAmt,lienAmt,block,lot,ward,ownerOcc,vacant,sqft,zoneCode,winBidAmt,winPremium,winAmtDue,winBidder,winBusinessNum
2900 CHELSEA TERR,152300.0,2012,0.0,152300.0,4503.73,2848,001,15,0,0,7000.0,R-4,87184.0,5252.0,9755.73,,27.0
3002 CHELSEA TERR,135730.0,2012,0.0,135730.0,11487.56,2752,002,15,0,1,9833.33,R-6,,,,,
3005 CHELSEA TERR,88600.0,2012,0.0,88600.0,4277.88,2755,014B,15,0,0,1500.0,R-6,8250.0,0.0,4277.88,,162.0
3020 CHELSEA TERR,85700.0,2012,0.0,85700.0,3604.99,2752,012,15,0,0,1450.0,R-6,30000.0,0.0,3604.99,,89.0
0600 CHERATON ROAD,117400.0,2012,0.0,117400.0,2649.76,7645,001,25,1,0,2358.32,R-6,56423.43,1892.0,4541.76,,213.0
0601 CHERATON ROAD,151300.0,2012,0.0,151300.0,807.13,7649A,001,25,0,1,4144.42,R-6,73398.0,2575.0,3382.13,,27.0
0607 CHERATON ROAD,112200.0,2012,0.0,112200.0,4991.93,7649A,004,25,0,1,1613.33,R-6,53879.06,1799.0,6790.93,,89.0
0627 CHERATON ROAD,113600.0,2012,0.0,113600.0,3302.76,7649A,014,25,0,0,1613.33,R-6,51481.56,1208.0,4510.76,,34.0
0631 CHERATON ROAD,114700.0,2012,0.0,114700.0,5262.81,7649A,016,25,1,0,1613.33,R-6,65866.33,3997.0,9259.81,,89.0
1008 CHERRY HILL ROAD,144400.0,2012,0.0,144400.0,1048.94,7651,005,25,1,0,6245.83,R-6,86352.0,5718.0,6766.94,,60.0
1810 CHERRY HILL ROAD,200500.0,2012,0.0,200500.0,1127.51,7612E,032A,25,0,0,8000.0,B-3-1,119069.0,7773.0,8900.51,,60.0
1611 CHERRY ST,110000.0,2012,0.0,110000.0,3078.32,7184,022,25,0,0,1120.0,R-7,15000.0,0.0,3078.32,,89.0
1627 CHERRY ST,50100.0,2012,0.0,50100.0,4638.66,7184,030,25,0,0,1120.0,R-7,,,,,
1245 CHESAPEAKE AVE,294500.0,2012,0.0,294500.0,3903.36,7335E,009A,25,0,0,,M-3,141846.0,4809.0,8712.36,,27.0
